상품유형,세부상품유형,운용회사,펀드명,위험등급,"구분
(추가/
단위)","기준
통화","순자산
총액
(원화:억원
외화:백만)",주식_금액,주식_비중,채권_금액,채권_비중,투자계약증권_금액,투자계약증권_비중,부동산_금액,부동산_비중,실물등_금액,실물등_비중,현금성_금액,현금성_비중,기타_금액,기타_비중,"기준
가격",1개월(%),1개월_순위,6개월(%),6개월_순위,1년(%),1년_순위,설정(전환)일(%),설정(전환)일_순위,"투자
운용
인력",운용,판매_보수,판매_수수료,환헤지,"주요
투자
지역",판매회사,구분,기준통화,순자산총액,기준가격,설정일(%),설정일_순위,투자운용인력,주요투자지역
주식형,일반,교보악사자산운용,교보악사Hi-Korea적립식멀티증권투자신탁K- 1(주식)(운용),높은위험(UH),추가개방,KRW,141,140,99,0,0,-,-,-,-,-,-,0,0,1,1,"1,093.19",15.44,_,33.28,_,13.1,_,251.99,_,,0,0,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사Hi-Korea적립식멀티증권투자신탁K- 1(주식)ClassCf,높은위험(UH),추가개방,KRW,140,0,0,0,0,-,-,-,-,-,-,0,0,140,100,"1,079.62",15.42,0364/1175,33.08,0520/1175,12.74,0547/1177,49.89,_,,0.26,0.02,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사Hi-Korea적립식멀티증권투자신탁K- 1e(주식),높은위험(UH),추가개방,KRW,1,0,0,0,0,-,-,-,-,-,-,0,0,1,100,"1,059.88",15.38,_,32.79,_,12.2,_,138.48,_,,0.26,0.5,0.4,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털목표전환증권투자신탁[주식](운용),높은위험(UH),단위개방,KRW,41,40,96,0,0,-,-,-,-,-,-,1,2,1,2,924.91,14.35,_,28.13,_,8.14,_,-7.51,_,,0,0,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털목표전환증권투자신탁[주식]ClassA,높은위험(UH),단위개방,KRW,34,0,0,0,0,-,-,-,-,-,-,0,0,34,100,886.24,14.27,_,27.38,_,6.77,_,-11.38,_,,0.75,0.5,1,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털목표전환증권투자신탁[주식]ClassA-e,높은위험(UH),단위개방,KRW,1,0,0,0,0,-,-,-,-,-,-,0,0,1,100,893.56,14.28,_,27.52,_,7.03,_,-10.64,_,,0.75,0.25,0.5,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털목표전환증권투자신탁[주식]ClassA2,높은위험(UH),단위개방,KRW,5,0,0,0,0,-,-,-,-,-,-,0,0,5,100,895.04,14.29,_,27.55,_,7.08,_,-10.5,_,,0.75,0.2,1.3,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털목표전환증권투자신탁[주식]ClassC,높은위험(UH),단위개방,KRW,1,0,0,0,0,-,-,-,-,-,-,0,0,1,100,874.74,14.24,_,27.15,_,6.35,_,-12.53,_,,0.75,0.9,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털목표전환증권투자신탁[주식]ClassC-e,높은위험(UH),단위개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,887.82,14.27,_,27.41,_,6.83,_,-11.22,_,,0.75,0.45,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털증권모투자신탁[주식],매우높은위험(UH),추가개방,KRW,57,57,96,0,0,-,-,-,-,-,-,1,1,2,3,"1,469.38",14.36,_,27.85,_,7.81,_,78.91,_,,0,0,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털증권자투자신탁2[주식],매우높은위험(UH),추가개방,KRW,2,0,0,0,0,-,-,-,-,-,-,0,8,2,92,"1,437.60",13.03,_,25.29,_,7.08,_,73.1,_,,0,0,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털증권자투자신탁2[주식]ClassA,매우높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,437.94",12.96,_,24.77,_,6.14,_,58.43,_,,0.25,0.65,1,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털증권자투자신탁2[주식]ClassA-E,매우높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,454.95",12.98,_,24.94,_,6.46,_,67.86,_,,0.25,0.32,0.5,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털증권자투자신탁2[주식]ClassC,매우높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,412.37",12.94,_,24.59,_,5.82,_,56.16,_,,0.25,0.96,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털증권자투자신탁2[주식]ClassS,매우높은위험(UH),추가개방,KRW,1,0,0,0,0,-,-,-,-,-,-,0,0,1,100,"1,355.27",12.99,_,24.95,_,6.48,_,38.89,_,,0.25,0.3,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털증권자투자신탁2[주식]ClassS-P,매우높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,244.89",12.99,_,24.99,_,6.55,_,28.1,_,,0.25,0.23,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털증권자투자신탁[주식](운용),매우높은위험(UH),추가개방,KRW,55,0,0,0,0,-,-,-,-,-,-,1,1,54,99,"1,518.28",14.22,_,27.55,_,7.73,_,85.25,_,,0,0,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털증권자투자신탁[주식]C3,매우높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,355.70",14.12,_,26.86,_,6.48,_,45.87,_,,0.25,0.9,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털증권자투자신탁[주식]ClassA1,매우높은위험(UH),추가개방,KRW,24,0,0,0,0,-,-,-,-,-,-,0,0,24,100,"1,462.58",14.14,_,27.01,_,6.74,_,57.32,_,,0.25,0.65,1,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털증권자투자신탁[주식]ClassAe,매우높은위험(UH),추가개방,KRW,6,0,0,0,0,-,-,-,-,-,-,0,0,6,100,"1,247.99",14.18,_,27.32,_,7.31,_,28.21,_,,0.25,0.125,0.5,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털증권자투자신탁[주식]ClassAf,매우높은위험(UH),추가개방,KRW,1,0,0,0,0,-,-,-,-,-,-,0,0,1,100,"1,228.32",14.19,_,0,_,0,_,22.83,_,,0.25,0,0.02,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털증권자투자신탁[주식]ClassB,매우높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,198.81",14.15,_,27.04,_,6.8,_,23.77,_,,0.25,0.6,1,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털증권자투자신탁[주식]ClassC-P(연금),매우높은위험(UH),추가개방,KRW,2,0,0,0,0,-,-,-,-,-,-,0,0,2,100,"1,197.18",14.13,_,26.95,_,6.63,_,20.84,_,,0.25,0.75,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털증권자투자신탁[주식]ClassC-Pe,매우높은위험(UH),추가개방,KRW,2,0,0,0,0,-,-,-,-,-,-,0,0,2,100,"1,295.39",14.16,_,27.17,_,7.04,_,34.17,_,,0.25,0.375,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털증권자투자신탁[주식]ClassC-Re(퇴직연금),매우높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,209.77",14.16,_,27.17,_,7.04,_,21.8,_,,0.25,0.38,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털증권자투자신탁[주식]ClassC4,매우높은위험(UH),추가개방,KRW,8,0,0,0,0,-,-,-,-,-,-,0,0,8,100,"1,499.63",14.13,_,26.9,_,6.54,_,66.03,_,,0.25,0.84,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사그린디지털증권자투자신탁[주식]ClassCe,매우높은위험(UH),추가개방,KRW,11,0,0,0,0,-,-,-,-,-,-,0,0,11,100,"1,486.35",14.16,_,27.11,_,6.92,_,58.84,_,,0.25,0.48,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사대형주증권투자신탁[주식](운용),높은위험(UH),추가개방,KRW,137,136,99,0,0,-,-,-,-,-,-,1,0,1,1,"1,323.53",15.43,_,33.42,_,15.51,_,37,_,,0,0,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사대형주증권투자신탁[주식]ClassC-F,높은위험(UH),추가개방,KRW,137,0,0,0,0,-,-,-,-,-,-,0,0,137,100,"1,318.99",15.41,0368/1175,33.22,0511/1175,15.15,0393/1177,35.73,_,,0.25,0.03,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사위대한중소형밸류증권모투자신탁 1(주식),매우높은위험(UH),추가개방,KRW,207,203,91,0,0,-,-,-,-,-,-,12,5,7,3,"1,865.33",13.99,_,46.91,_,25.18,_,171.37,_,,0,0,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사위대한중소형밸류증권자투자신탁 1(주식)(운용),매우높은위험(UH),추가개방,KRW,165,0,0,0,0,-,-,-,-,-,-,3,2,161,98,"1,823.52",13.68,_,45.73,_,24.58,_,406.53,_,,0,0,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사위대한중소형밸류증권자투자신탁 1(주식)Class A1,매우높은위험(UH),추가개방,KRW,23,0,0,0,0,-,-,-,-,-,-,0,0,23,100,"1,732.46",13.56,0685/1175,44.77,0118/1175,22.72,0218/1177,294.23,_,,0.75,0.7,1,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사위대한중소형밸류증권자투자신탁 1(주식)Class Ae,매우높은위험(UH),추가개방,KRW,11,0,0,0,0,-,-,-,-,-,-,0,0,11,100,"1,789.12",13.59,0682/1175,44.99,0112/1175,23.15,0213/1177,153.21,_,,0.75,0.35,0.7,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사위대한중소형밸류증권자투자신탁 1(주식)Class C1,매우높은위험(UH),추가개방,KRW,11,0,0,0,0,-,-,-,-,-,-,0,0,11,100,"1,685.50",13.54,0687/1175,44.58,0126/1175,22.35,0223/1177,263.14,_,,0.75,1,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사위대한중소형밸류증권자투자신탁 1(주식)Class Ce,매우높은위험(UH),추가개방,KRW,28,0,0,0,0,-,-,-,-,-,-,0,0,28,100,"1,792.60",13.6,0679/1175,45.09,0107/1175,23.34,0204/1177,330.82,_,,0.75,0.2,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사위대한중소형밸류증권자투자신탁 1(주식)ClassC-P(연금),매우높은위험(UH),추가개방,KRW,4,0,0,0,0,-,-,-,-,-,-,0,0,4,100,"1,377.42",13.56,0683/1175,44.77,0116/1175,22.73,0217/1177,37.74,_,,0.75,0.69,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사위대한중소형밸류증권자투자신탁 1(주식)ClassC-Pe(연금),매우높은위험(UH),추가개방,KRW,3,0,0,0,0,-,-,-,-,-,-,0,0,3,100,"1,541.32",13.59,0681/1175,44.99,0110/1175,23.17,0211/1177,55.4,_,,0.75,0.34,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사위대한중소형밸류증권자투자신탁 1(주식)ClassC-R(퇴직연금),매우높은위험(UH),추가개방,KRW,5,0,0,0,0,-,-,-,-,-,-,0,0,5,100,"1,446.72",13.56,0684/1175,44.77,0117/1175,22.72,0219/1177,44.67,_,,0.75,0.7,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사위대한중소형밸류증권자투자신탁 1(주식)ClassC-Re(퇴직연금),매우높은위험(UH),추가개방,KRW,80,0,0,0,0,-,-,-,-,-,-,0,0,80,100,"1,481.86",13.59,0680/1175,44.99,0111/1175,23.16,0212/1177,49.01,_,,0.75,0.345,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사파워K-주주가치액티브증권상장지수투자신탁[주식],높은위험(UH),추가개방,KRW,174,169,97,0,0,-,-,-,-,-,-,5,3,0,0,"12,433.46",11.65,_,31.49,_,0,_,28.32,_,,0.35,0.025,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사파워K100증권상장지수투자신탁[주식],높은위험(UH),추가개방,KRW,176,171,97,0,0,-,-,-,-,-,-,5,3,0,0,"31,475.71",15.48,0359/1175,31.15,0632/1175,9.84,0703/1177,86.3,_,,0.11,0.01,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사파워K200증권상장지수투자신탁(주식),높은위험(UH),추가개방,KRW,527,514,97,0,0,-,-,-,-,-,-,13,2,1,0,"42,127.89",15.4,0372/1175,32.34,0580/1175,10.63,0639/1177,107.49,_,,0.1,0.01,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사파워고배당저변동성증권상장지수투자신탁[주식],높은위험(UH),추가개방,KRW,101,99,98,0,0,-,-,-,-,-,-,1,1,0,0,"42,012.56",10.59,_,35.5,_,38.66,_,150.89,_,,0.17,0.01,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사파워배당주증권투자신탁[주식]C-F,높은위험(UH),추가개방,KRW,133,0,0,0,0,-,-,-,-,-,-,0,0,133,100,"1,331.82",14.94,_,33.11,_,0,_,33.18,_,,0.3,0.01,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사파워배당주증권투자신탁[주식]_운용,높은위험(UH),추가개방,KRW,133,133,99,0,0,-,-,-,-,-,-,0,0,2,1,"1,333.96",14.96,_,33.32,_,0,_,33.4,_,,0,0,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사파워플러스장기소득공제증권자투자신탁[주식](운용),높은위험(UH),추가개방,KRW,19,0,0,0,0,-,-,-,-,-,-,1,6,18,94,"1,166.29",14,_,34.47,_,14.68,_,116.48,_,,0,0,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사파워플러스장기소득공제증권자투자신탁[주식]ClassC,높은위험(UH),추가개방,KRW,12,0,0,0,0,-,-,-,-,-,-,0,0,12,100,"1,118.85",13.93,_,33.88,_,13.59,_,94.07,_,,0.3,0.65,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사파워플러스장기소득공제증권자투자신탁[주식]ClassC-E,높은위험(UH),추가개방,KRW,7,0,0,0,0,-,-,-,-,-,-,0,0,7,100,"1,134.74",13.95,_,34.08,_,13.96,_,97.24,_,,0.3,0.32,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사파워플러스장기소득공제증권자투자신탁[주식]ClassS-T,높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,141.37",13.96,_,34.16,_,14.11,_,98.85,_,,0.3,0.19,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사행복한연금증권자투자신탁 1(주식)(운용),높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,7,0,93,879.79,13.16,_,25.36,_,7.39,_,150.64,_,,0,0,0,-,-,,,,,,,,,
주식형,일반,교보악사자산운용,교보악사행복한연금증권자투자신탁 1(주식)ClassC,높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,838.16,13.06,_,24.54,_,5.93,_,6.19,_,,0.5,0.85,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올ESG1등주증권투자신탁[주식](운),높은위험(UH),추가개방,KRW,31,28,90,0,0,-,-,-,-,-,-,3,9,0,1,"1,708.86",13.45,_,32.75,_,11.95,_,84.79,_,,0,0,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올ESG1등주증권투자신탁[주식]종류A,높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,692.54",13.35,_,31.94,_,10.47,_,69.83,_,,0.6,0.7,1,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올ESG1등주증권투자신탁[주식]종류Ae,높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,695.07",13.38,_,32.15,_,10.85,_,73.61,_,,0.6,0.35,0.5,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올ESG1등주증권투자신탁[주식]종류C-Pe,높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,077.20",13.4,_,32.16,_,10.8,_,7.92,_,,0.6,0.45,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올ESG1등주증권투자신탁[주식]종류C4,높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,246.29",13.35,_,31.94,_,10.47,_,25.12,_,,0.6,0.7,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올ESG1등주증권투자신탁[주식]종류CF,높은위험(UH),추가개방,KRW,29,0,0,0,0,-,-,-,-,-,-,0,0,29,100,"1,699.36",13.4,_,32.34,_,11.2,_,77.09,_,,0.6,0.03,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올ESG1등주증권투자신탁[주식]종류CPe,높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,007.42",13.38,_,32.18,_,10.91,_,0.74,_,,0.6,0.3,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올ESG1등주증권투자신탁[주식]종류Ce,높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,693.89",13.37,_,32.06,_,10.69,_,71.99,_,,0.6,0.5,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올ESG1등주증권투자신탁[주식]종류S,높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,056.28",13.38,_,32.16,_,10.81,_,5.63,_,,0.6,0.34,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올ESG1등주증권투자신탁[주식]종류S-P(퇴직),높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,157.70",13.4,_,32.24,_,11.01,_,17.71,_,,0.6,0.26,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP밸류연금저축증권자투자신탁[주식],매우높은위험(UH),추가개방,KRW,53,0,0,0,0,-,-,-,-,-,-,0,0,53,100,"1,015.17",12.45,_,23.58,_,0.87,_,209.68,_,,0,0,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP밸류연금저축증권자투자신탁[주식]종류C,매우높은위험(UH),추가개방,KRW,18,0,0,0,0,-,-,-,-,-,-,0,0,18,100,985.29,12.34,0756/1175,22.71,1041/1175,-0.65,1112/1177,166.55,_,,0.7,0.79,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP밸류연금저축증권자투자신탁[주식]종류Ce,매우높은위험(UH),추가개방,KRW,35,0,0,0,0,-,-,-,-,-,-,0,0,35,100,992.98,12.37,0751/1175,22.94,1034/1175,-0.26,1102/1177,177.23,_,,0.7,0.39,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP밸류증권모투자신탁[주식],높은위험(UH),추가개방,KRW,"2,112.00","2,065.00",96,0,0,-,-,-,-,-,-,43,2,50,2,"2,540.99",12.49,_,23.56,_,0.76,_,212.86,_,,0,0,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP밸류퇴직연금증권자투자신탁[주식],매우높은위험(UH),추가개방,KRW,57,0,0,0,0,-,-,-,-,-,-,0,1,57,99,"1,006.68",12.38,_,23.32,_,0.71,_,208.1,_,,0,0,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP밸류퇴직연금증권자투자신탁[주식]종류C,매우높은위험(UH),추가개방,KRW,38,0,0,0,0,-,-,-,-,-,-,0,0,38,100,976.97,12.27,0760/1175,22.41,1048/1175,-0.86,1115/1177,165.09,_,,0.7,0.8,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP밸류퇴직연금증권자투자신탁[주식]종류Ce,매우높은위험(UH),추가개방,KRW,19,0,0,0,0,-,-,-,-,-,-,0,0,19,100,984.6,12.3,0758/1175,22.64,1043/1175,-0.45,1107/1177,107.89,_,,0.7,0.4,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP스타셀렉션증권자투자신탁[주식],매우높은위험(UH),추가개방,KRW,"1,992.00",0,0,0,0,-,-,-,-,-,-,3,0,"2,003.00",100,"2,367.37",12.47,_,23.51,_,0.75,_,387.26,_,,0,0,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP스타셀렉션증권자투자신탁[주식]종류A,매우높은위험(UH),추가개방,KRW,937,0,0,0,0,-,-,-,-,-,-,0,0,943,100,"2,200.03",12.37,0750/1175,22.67,1042/1175,-0.65,1111/1177,289.16,_,,0.66,0.7,1,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP스타셀렉션증권자투자신탁[주식]종류Ae,매우높은위험(UH),추가개방,KRW,245,0,0,0,0,-,-,-,-,-,-,0,0,248,100,"1,637.44",12.39,0747/1175,22.87,1038/1175,-0.31,1104/1177,63.74,_,,0.66,0.35,0.5,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP스타셀렉션증권자투자신탁[주식]종류C,매우높은위험(UH),추가개방,KRW,1,0,0,0,0,-,-,-,-,-,-,0,0,1,100,"1,980.19",12.36,_,22.36,_,-1.2,_,234.19,_,,0.66,1.5,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP스타셀렉션증권자투자신탁[주식]종류C-P,매우높은위험(UH),추가개방,KRW,7,0,0,0,0,-,-,-,-,-,-,0,0,7,100,"1,507.57",12.37,0752/1175,22.61,1044/1175,-0.74,1113/1177,50.76,_,,0.66,0.8,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP스타셀렉션증권자투자신탁[주식]종류C-Pe,매우높은위험(UH),추가개방,KRW,52,0,0,0,0,-,-,-,-,-,-,0,0,53,100,"1,692.09",12.39,0748/1175,22.84,1039/1175,-0.36,1105/1177,69.21,_,,0.66,0.4,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP스타셀렉션증권자투자신탁[주식]종류C2,매우높은위험(UH),추가개방,KRW,24,0,0,0,0,-,-,-,-,-,-,0,0,24,100,"1,131.87",12.33,0757/1175,22.26,1050/1175,-1.32,1119/1177,91.96,_,,0.66,1.39,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP스타셀렉션증권자투자신탁[주식]종류C3,매우높은위험(UH),추가개방,KRW,14,0,0,0,0,-,-,-,-,-,-,0,0,14,100,"1,072.36",12.34,0755/1175,22.36,1049/1175,-1.15,1118/1177,83.43,_,,0.66,1.25,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP스타셀렉션증권자투자신탁[주식]종류C4,매우높은위험(UH),추가개방,KRW,77,0,0,0,0,-,-,-,-,-,-,0,0,78,100,"2,135.41",12.35,0754/1175,22.49,1046/1175,-0.95,1117/1177,332.59,_,,0.66,1,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP스타셀렉션증권자투자신탁[주식]종류CP,매우높은위험(UH),추가개방,KRW,46,0,0,0,0,-,-,-,-,-,-,0,0,46,100,"2,249.45",12.38,0749/1175,22.8,1040/1175,-0.42,1106/1177,163.52,_,,0.66,0.47,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP스타셀렉션증권자투자신탁[주식]종류CPe,매우높은위험(UH),추가개방,KRW,278,0,0,0,0,-,-,-,-,-,-,0,0,282,100,"2,241.05",12.4,0744/1175,22.95,1033/1175,-0.19,1099/1177,128.56,_,,0.66,0.23,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP스타셀렉션증권자투자신탁[주식]종류Ce,매우높은위험(UH),추가개방,KRW,267,0,0,0,0,-,-,-,-,-,-,0,0,269,100,"2,156.68",12.36,0753/1175,22.55,1045/1175,-0.84,1114/1177,273.86,_,,0.66,0.9,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP스타셀렉션증권자투자신탁[주식]종류S,매우높은위험(UH),추가개방,KRW,30,0,0,0,0,-,-,-,-,-,-,0,0,30,100,"2,277.19",12.39,0746/1175,22.88,1037/1175,-0.3,1103/1177,146.84,_,,0.66,0.34,0.08,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP스타셀렉션증권자투자신탁[주식]종류S-P,매우높은위험(UH),추가개방,KRW,11,0,0,0,0,-,-,-,-,-,-,0,0,12,100,"2,511.91",12.4,0745/1175,22.93,1035/1175,-0.21,1100/1177,154.48,_,,0.66,0.249,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP스타셀렉션청년형장기소득공제증권자투자신탁[주식](운),높은위험(UH),추가개방,KRW,11,0,0,0,0,-,-,-,-,-,-,0,0,11,100,"1,311.37",12.45,_,23.44,_,0.69,_,32.61,_,,0,0,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP스타셀렉션청년형장기소득공제증권자투자신탁[주식]종류C,높은위험(UH),추가개방,KRW,3,0,0,0,0,-,-,-,-,-,-,0,0,3,100,"1,278.28",12.33,_,22.51,_,-0.93,_,27.83,_,,0.66,0.9,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올VIP스타셀렉션청년형장기소득공제증권자투자신탁[주식]종류Ce,높은위험(UH),추가개방,KRW,7,0,0,0,0,-,-,-,-,-,-,0,0,7,100,"1,267.42",12.36,_,22.77,_,-0.48,_,26.74,_,,0.66,0.45,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올마켓스타증권투자신탁[주식](운),높은위험(UH),추가개방,KRW,442,439,97,0,0,-,-,-,-,-,-,3,1,8,2,"1,536.98",13.1,_,31.79,_,13.48,_,467.9,_,,0,0,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올마켓스타증권투자신탁[주식]종류A,높은위험(UH),추가개방,KRW,88,0,0,0,0,-,-,-,-,-,-,0,0,88,100,"1,475.78",12.99,0718/1175,30.99,0644/1175,12.01,0588/1177,130.74,_,,0.673,0.58,1,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올마켓스타증권투자신탁[주식]종류Ae,높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,113.99",13.02,_,31.17,_,12.32,_,11.4,_,,0.673,0.29,0.5,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올마켓스타증권투자신탁[주식]종류C-Pe,높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,422.48",13,_,31.07,_,12.17,_,43.97,_,,0.673,0.45,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올마켓스타증권투자신탁[주식]종류C2,높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,352.02",12.95,_,31.24,_,11.78,_,111.08,_,,0.673,1.375,0,-,-,,,,,,,,,
주식형,일반,다올자산운용,다올마켓스타증권투자신탁[주식]종류C3,높은위험(UH),추가개방,KRW,0,0,0,0,0,-,-,-,-,-,-,0,0,0,100,"1,365.12",12.93,_,30.57,_,11.22,_,113.23,_,,0.673,1.25,0,-,-,,,,,,,,,
